Country Name,Continent,Physicians,Above_65,Health_Expenditure,Basic_Sanitation,Basic_Water,GDP_per_capita,Cellular_Subscriptions,cases_per_100000,deaths_per_100000
Palau,Oceania,,,12.12845135,99.99999781,99.99999781,17826.39361,,0,0
Panama,North America,,7.90991653,6.89914465,83.31545897,96.38241895,30454.81572,128.5729731,6995,62
Papua New Guinea,Oceania,,3.379222369,2.27085471,12.94926697,41.32704942,4285.628756,47.61771578,99,6
Paraguay,South America,0.2399,6.241010528,6.65456867,89.78369143,99.61019773,12594.34876,108.7550409,6090,380
Peru,South America,,7.810802455,4.99378443,74.34295659,91.12787097,12506.52938,123.7597545,11928,677
Philippines,Asia,0.6004,4.937096691,4.4460597,76.53350207,93.56837604,8120.868793,114.0711091,39614,577
Poland,Europe,2.3788,16.93129535,6.56172848,98.79661022,99.72468254,30064.50348,132.9502666,707,30
Portugal,Europe,5.124,21.55770209,9.33004951,99.60892314,99.90766021,33044.71674,114.341985,23044,61
Puerto Rico,North America,,17.74532528,,97.17055271,97.12479066,34363.74599,107.1352326,1259,7
Qatar,Asia,0.0008,1.232122986,2.72160077,100,99.56810194,91738.75279,146.3838592,923,1
Romania,Europe,2.9807,17.88172659,5.1508317,84.30992434,100,27141.91933,113.9718904,518,12
Russian Federation,Asia,,14.26331499,5.34388065,90.48222462,97.0899112,25926.44385,156.187408,170523,5428
Rwanda,Africa,0.1371,2.849763053,6.93017101,66.5738424,57.71327853,1975.248661,73.61026382,9750,88
Samoa,Oceania,,4.688459806,5.50720882,98.16793934,97.38259524,6480.845407,63.58317294,0,0
San Marino,Europe,,,7.24210215,100,100,58867.01336,112.856761,13,0
Sao Tome and Principe,Africa,0.0531,2.907445591,6.46091604,42.97494428,84.29015993,3952.945412,84.00397897,17,0
Saudi Arabia,Asia,2.5366,3.207535297,7.00368643,100,100,47306.22232,121.4789509,8321,95
Senegal,Africa,0.0691,3.074519005,4.06742668,51.47398952,80.67785387,3203.906368,102.1986069,6550,47
Serbia,Europe,,17.89475162,8.23131752,97.56719903,85.52211629,16611.01686,97.64591441,1369,17
Seychelles,Africa,,7.429110747,4.98940706,100,96.24901256,27242.65603,173.49665,307,11
Sierra Leone,Africa,,2.981842773,16.6201725,15.65266158,60.80698694,1642.60747,88.46989546,84,4
Singapore,Asia,,10.57989948,4.4177866,100,100,94940.97079,146.8437245,939,0
Sint Maarten (Dutch part),North America,,,,98.78102656,95.07411955,37914.12297,,39,0
Slovak Republic,Europe,3.4156,15.08102205,6.76883841,97.93813039,99.78773411,30093.35141,130.6513152,225,10
Slovenia,Europe,3.0861,19.02331638,8.18941784,99.10956793,99.53502551,36505.67722,117.6641813,421,0
Solomon Islands,Oceania,,3.572422446,4.74138927,33.52835363,67.77595721,2663.939508,73.1607653,0,0
Somalia,Africa,,2.853683542,,38.33638026,52.43618907,,48.79644016,77,0
South Africa,Africa,0.9054,5.219178626,8.11311913,75.7470984,92.67870194,12701.34893,155.2323957,89090,2653
South Sudan,Africa,,3.415764782,8.37437344,11.32168431,40.67601215,,25.56130126,0,0
Spain,Europe,3.8723,19.14584873,8.94249249,99.90423089,99.92627831,39528.92539,112.5612499,155222,76
Sri Lanka,Asia,0.9277,10.12359315,3.80975389,95.78172636,89.41629243,12584.10442,133.4676273,9238,257
St. Kitts and Nevis,North America,,,5.69199848,,,25360.09102,147.7144779,13,0
